Name	Schema	Create Date	Policy Health State	Owner
ave_allTA_REC_21270	dbo	10/26/2012 2:21 PM		dbo
ave_allTA_REC_21271	dbo	1/2/2013 4:40 PM		dbo
ave_allTA_REC_21310	dbo	3/6/2013 10:58 AM		dbo
ave_allTA_REC_21311	dbo	5/15/2013 1:43 PM		dbo
ave_allTA_REC_2134	dbo	8/14/2013 4:41 PM		dbo
ave_allTA_REC_21370	dbo	10/17/2013 2:44 PM		dbo
ave_allTA_REC_21371	dbo	12/16/2013 3:12 PM		dbo
ave_allTA_REC_21410	dbo	3/5/2014 9:44 AM		dbo
ave_allTA_REC_21411	dbo	5/14/2014 4:19 PM		dbo
ave_allTA_REC_2144	dbo	8/25/2014 3:34 PM		dbo
ave_allTA_REC_21470	dbo	10/17/2014 10:55 AM		dbo
ave_allTA_REC_21471	dbo	12/22/2014 3:49 PM		dbo
ave_allTA_REC_21510	dbo	3/9/2015 3:37 PM		dbo
ave_allTA_REC_21511	dbo	5/29/2015 2:39 PM		dbo
ave_allTA_REC_2154	dbo	8/24/2015 2:29 PM		dbo
ave_allTA_REC_21570	dbo	10/27/2015 3:49 PM		dbo
ave_allTA_REC_21571	dbo	12/15/2015 10:39 AM		dbo
ave_allTA_REC_21610	dbo	3/9/2016 2:51 PM		dbo
ave_allTA_REC_21611	dbo	5/6/2016 4:42 PM		dbo
ave_allTA_REC_2164	dbo	8/23/2016 10:28 AM		dbo
ave_allTA_REC_21670	dbo	10/17/2016 10:51 AM		dbo
ave_allTA_REC_21671	dbo	12/14/2016 4:06 PM		dbo
ave_allTA_REC_21710	dbo	3/13/2017 4:39 PM		dbo
ave_allTA_REC_21711	dbo	5/16/2017 4:13 PM		dbo
ave_allTA_REC_2174	dbo	8/28/2017 1:59 PM		dbo
ave_allTA_REC_21770	dbo	10/13/2017 3:47 PM		dbo
ave_allTA_REC_21771	dbo	12/21/2017 3:24 PM		dbo
ave_allTA_REC_21810	dbo	3/16/2018 1:58 PM		dbo
ave_allTA_REC_21811	dbo	5/16/2018 1:58 PM		dbo
ave_allTA_REC_2184	dbo	8/31/2018 12:52 PM		dbo
ave_allTA_REC_21870	dbo	10/18/2018 1:57 PM		dbo
ave_allTA_REC_21871	dbo	12/11/2018 2:59 PM		dbo
ave_allTA_REC_21910	dbo	3/13/2019 10:58 AM		dbo
ave_allTA_REC_21911	dbo	5/15/2019 11:25 AM		dbo
ave_allTA_REC_2194	dbo	8/20/2019 9:14 AM		dbo
ave_allTA_REC_21970	dbo	10/21/2019 9:43 AM		dbo
ave_allTA_REC_21971	dbo	1/3/2020 10:00 AM		dbo
ave_allTA_REC_22010	dbo	3/10/2020 2:38 PM		dbo
ave_allTA_REC_22011	dbo	5/19/2020 9:29 AM		dbo
ave_allTA_REC_2204	dbo	8/24/2020 9:52 AM		dbo
ave_allTA_REC_22070	dbo	10/22/2020 4:43 PM		dbo
ave_allTA_REC_22071	dbo	12/21/2020 2:50 PM		dbo
ave_allTA_REC_22110	dbo	3/3/2021 11:36 AM		dbo
ave_allTA_REC_22111	dbo	5/8/2021 3:18 PM		dbo
ave_allTA_REC_2214	dbo	8/23/2021 10:32 AM		dbo
ave_allTA_REC_22170	dbo	10/11/2021 10:53 AM		dbo
ave_allTA_REC_22171	dbo	12/22/2021 5:09 PM		dbo
ave_allTA_REC_22210	dbo	3/7/2022 2:47 PM		dbo
ave_allTA_REC_22211	dbo	5/16/2022 1:54 PM		dbo
ave_allTA_REC_2224	dbo	8/22/2022 12:47 PM		dbo
ave_allTA_REC_22270	dbo	10/21/2022 1:10 PM		dbo
ave_allTA_REC_22271	dbo	12/16/2022 12:47 PM		dbo
ave_allTA_REC_22310	dbo	2/28/2023 4:04 PM		dbo
ave_allTA_REC_22311	dbo	5/19/2023 3:03 PM		dbo
ave_allTA_REC_2234	dbo	8/14/2023 2:30 PM		dbo
Ave_ByClass	dbo	5/25/2010 3:16 PM		dbo
Ave_byClass_2111	dbo	5/17/2011 11:31 AM		dbo
Ave_byClass_2114	dbo	8/11/2011 1:16 PM		dbo
Ave_byClass_2117	dbo	12/20/2011 9:10 AM		dbo
Ave_byClass_2121	dbo	5/7/2012 8:09 PM		dbo
Ave_byClass_2124	dbo	8/23/2012 10:57 AM		dbo
ave_byTA_2107	dbo	5/6/2011 10:53 AM		dbo
ave_byTA_21110	dbo	3/11/2011 4:15 PM		dbo
ave_byTA_21111	dbo	5/5/2011 3:18 PM		dbo
ave_byTA_2114	dbo	8/9/2011 3:32 PM		dbo
ave_byTA_21170	dbo	10/20/2011 3:06 PM		dbo
ave_byTA_21171	dbo	12/20/2011 9:16 AM		dbo
ave_byTA_21210	dbo	3/1/2012 2:08 PM		dbo
ave_byTA_21211	dbo	5/7/2012 4:40 PM		dbo
ave_byTA_2124	dbo	8/23/2012 10:59 AM		dbo
ave_byTA_21270	dbo	10/26/2012 2:23 PM		dbo
ave_byTA_21271	dbo	1/2/2013 4:42 PM		dbo
ave_byTA_21310	dbo	3/6/2013 11:05 AM		dbo
ave_byTA_21311	dbo	5/15/2013 1:48 PM		dbo
ave_byTA_2134	dbo	8/14/2013 4:43 PM		dbo
ave_byTA_21370	dbo	10/17/2013 2:50 PM		dbo
ave_byTA_21371	dbo	12/17/2013 9:46 AM		dbo
ave_byTA_21410	dbo	3/5/2014 9:46 AM		dbo
ave_byTA_21411	dbo	5/14/2014 4:20 PM		dbo
ave_byTA_2144	dbo	8/25/2014 3:52 PM		dbo
ave_byTA_21470	dbo	10/17/2014 10:56 AM		dbo
ave_byTA_21471	dbo	12/22/2014 3:50 PM		dbo
ave_byTA_21510	dbo	3/9/2015 3:44 PM		dbo
ave_byTA_21511	dbo	5/29/2015 2:41 PM		dbo
ave_byTA_2154	dbo	8/24/2015 2:31 PM		dbo
ave_byTA_21570	dbo	10/27/2015 3:51 PM		dbo
ave_byTA_21571	dbo	12/15/2015 10:41 AM		dbo
ave_byTA_21610	dbo	3/9/2016 2:52 PM		dbo
ave_byTA_21611	dbo	5/6/2016 4:44 PM		dbo
ave_byTA_2164	dbo	8/23/2016 10:29 AM		dbo
ave_byTA_21670	dbo	10/17/2016 10:52 AM		dbo
ave_byTA_21671	dbo	12/14/2016 4:08 PM		dbo
ave_byTA_21710	dbo	3/13/2017 4:40 PM		dbo
ave_byTA_21711	dbo	5/16/2017 4:41 PM		dbo
ave_byTA_2174	dbo	8/28/2017 2:02 PM		dbo
ave_byTA_21770	dbo	10/13/2017 3:52 PM		dbo
ave_byTA_21771	dbo	12/21/2017 3:28 PM		dbo
ave_byTA_21810	dbo	3/16/2018 2:01 PM		dbo
ave_byTA_21811	dbo	5/16/2018 1:59 PM		dbo
ave_byTA_2184	dbo	8/31/2018 12:54 PM		dbo
ave_byTA_21870	dbo	10/18/2018 1:59 PM		dbo
ave_byTA_21871	dbo	12/11/2018 3:00 PM		dbo
ave_byTA_21910	dbo	3/13/2019 12:48 PM		dbo
ave_byTA_21911	dbo	5/15/2019 11:29 AM		dbo
ave_byTA_2194	dbo	8/20/2019 9:16 AM		dbo
ave_byTA_21970	dbo	10/21/2019 9:44 AM		dbo
ave_byTA_21971	dbo	1/3/2020 1:02 PM		dbo
ave_byTA_22010	dbo	3/10/2020 2:39 PM		dbo
ave_byTA_22011	dbo	5/19/2020 9:30 AM		dbo
ave_byTA_2204	dbo	8/24/2020 9:59 AM		dbo
ave_byTA_22070	dbo	10/22/2020 4:50 PM		dbo
ave_byTA_22071	dbo	12/21/2020 2:51 PM		dbo
ave_byTA_22110	dbo	3/3/2021 11:44 AM		dbo
ave_byTA_22111	dbo	5/8/2021 3:21 PM		dbo
ave_byTA_2214	dbo	8/23/2021 10:33 AM		dbo
ave_byTA_22170	dbo	10/11/2021 10:57 AM		dbo
ave_byTA_22171	dbo	12/22/2021 5:10 PM		dbo
ave_byTA_22210	dbo	3/7/2022 2:52 PM		dbo
ave_byTA_22211	dbo	5/16/2022 1:55 PM		dbo
ave_byTA_2224	dbo	8/22/2022 12:50 PM		dbo
ave_byTA_22270	dbo	10/21/2022 1:12 PM		dbo
ave_byTA_22271	dbo	12/16/2022 12:52 PM		dbo
